super_opeid,name,cohort,type,tier,iclevel,state,count,access,success,mobility
2668,Alfred University,1981,Private Non-profit,Selective private,Four-year,NY,457,6.7594304,29.654345,2.0044649
2668,Alfred University,1982,Private Non-profit,Selective private,Four-year,NY,412,7.2539988,22.378904,1.6233655
2668,Alfred University,1983,Private Non-profit,Selective private,Four-year,NY,393,8.5894823,25.729509,2.2100317
2668,Alfred University,1984,Private Non-profit,Selective private,Four-year,NY,413,7.0830765,45.088867,3.1936786
2668,Alfred University,1985,Private Non-profit,Selective private,Four-year,NY,408,7.2609706,17.872684,1.2977303
2668,Alfred University,1986,Private Non-profit,Selective private,Four-year,NY,413,5.0867519,32.620987,1.6593488
2668,Alfred University,1987,Private Non-profit,Selective private,Four-year,NY,338,7.1213474,24.181484,1.7220477
2668,Alfred University,1988,Private Non-profit,Selective private,Four-year,NY,354,8.1394949,33.806828,2.7517052
2668,Alfred University,1989,Private Non-profit,Selective private,Four-year,NY,457,6.3524337,24.770323,1.5735183
2668,Alfred University,1990,Private Non-profit,Selective private,Four-year,NY,393,7.7544584,28.503721,2.2103093
2668,Alfred University,1991,Private Non-profit,Selective private,Four-year,NY,402,7.2021136,16.534489,1.1908325
34933,All-State Career,1980,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1981,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1982,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1983,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1984,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1985,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1986,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,,,,
34933,All-State Career,1987,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,240,29.524261,10.000506,2.9525757
34933,All-State Career,1988,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,442,29.491598,4.0156527,1.18428
34933,All-State Career,1989,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,499,30.888727,4.0345912,1.2462338
34933,All-State Career,1990,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,551,27.111191,11.31986,3.068949
34933,All-State Career,1991,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,495,26.691332,9.8174105,2.6203978
24955,All-State Career School,1980,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1981,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1982,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1983,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1984,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1985,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1986,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,,,,
24955,All-State Career School,1987,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,104,29.894934,3.0055091,.89849496
24955,All-State Career School,1988,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,179,33.40646,23.138063,7.7296076
24955,All-State Career School,1989,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,192,29.580072,9.0904694,2.6889675
24955,All-State Career School,1990,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,206,32.967777,17.357891,5.7225118
24955,All-State Career School,1991,Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,214,25.981266,9.2047367,2.3915069
1111,Allan Hancock College,1980,Public,Two-year (public and private not-for-profit),Two-year,CA,,,,
1111,Allan Hancock College,1981,Public,Two-year (public and private not-for-profit),Two-year,CA,,,,
1111,Allan Hancock College,1982,Public,Two-year (public and private not-for-profit),Two-year,CA,,,,
1111,Allan Hancock College,1983,Public,Two-year (public and private not-for-profit),Two-year,CA,966,13.744727,12.967464,1.7823426
1111,Allan Hancock College,1984,Public,Two-year (public and private not-for-profit),Two-year,CA,1474,15.393265,12.318544,1.8962262
